time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/clip_range,train/approx_kl,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/explained_variance,eval/mean_reward,eval/mean_ep_length
37888,113.5,407,92,-221.1165,37,0.2,0.003641787,-0.9107909668236971,360,1645.4982902526856,1124.513671875,-0.005285361959249712,0.0003,0.0046875,-0.0008522272109985352,,
38912,110.9,413,94,-209.695,38,0.2,0.00093494187,-0.9357545230537653,370,1232.5821922302246,264.855712890625,-0.002015944663435221,0.0003,0.0,0.017448723316192627,,
39936,110.59,417,95,-206.4505,39,0.2,8.331728e-06,-0.9798730693757534,380,2648.2941566467284,1276.8546142578125,-0.0002218678593635559,0.0003,0.0,0.10677951574325562,,
40960,,,,,,0.2,9.197154e-05,-1.0599724840372802,390,800.0006350517273,420.1932067871094,-0.00038037251943023875,0.0003,0.0,0.35030072927474976,-630.8900149345397,161.0
40960,109.51,421,97,-207.05449999999996,40,,,,,,,,,,,,
41984,112.84,427,98,-216.00349999999997,41,0.2,2.5378016e-05,-0.9006289400160312,400,1064.6305597305297,309.2857971191406,-0.0002495520922821015,0.0003,0.0,0.21048450469970703,,
43008,115.54,432,99,-223.857,42,0.2,2.5917077e-05,-1.0383954759687186,410,559.3523791313171,121.68528747558594,-0.00023947821755427868,0.0003,0.0,0.6689928770065308,,
44032,111.85,436,100,-210.55599999999998,43,0.2,0.00022831344,-1.0156123481690884,420,973.2839327812195,378.4578552246094,-0.0004373556119389832,0.0003,0.0,-0.028386354446411133,,
45056,111.26,441,101,-209.40849999999998,44,0.2,5.720774e-05,-0.9881721463054418,430,1254.2052436828612,321.60186767578125,-0.00039840733516030016,0.0003,0.0,0.07629024982452393,,
46080,110.24,446,103,-202.69299999999996,45,0.2,2.3618573e-05,-0.9705331441015005,440,1422.281283760071,707.1180419921875,-0.0003581793018383905,0.0003,0.0,0.3422200083732605,,
47104,110.16,451,104,-203.26649999999998,46,0.2,0.00017907622,-0.993512624874711,450,1458.738042449951,735.1251220703125,-0.0004978165699867532,0.0003,0.0,0.3731800317764282,,
48128,107.93,455,105,-193.55449999999996,47,0.2,0.0009205517,-1.0150176197290421,460,433.1885129928589,98.12397766113281,-0.0014764316540095024,0.0003,0.0,0.7137836217880249,,
49152,,,,,,0.2,0.0004289223,-1.0292636059224605,470,1221.7009994506836,478.35980224609375,-0.0013270905372337438,0.0003,0.0,0.26438915729522705,-811.5100186347961,200.0
49152,109.61,457,107,-199.18200000000002,48,,,,,,,,,,,,
50176,111.4,462,108,-208.77200000000005,49,0.2,0.00069329067,-0.9464601930230856,480,761.3889753341675,227.37298583984375,-0.001175936839717906,0.0003,0.0,0.5285431146621704,,
51200,111.81,466,109,-212.34799999999998,50,0.2,7.91582e-05,-0.9360903173685073,490,541.1278412818908,256.8584289550781,-0.0006934526412806008,0.0003,0.0,0.5890668630599976,,
52224,106.78,470,110,-192.3365,51,0.2,0.00066357246,-0.9821929574012757,500,1138.72810754776,287.1119079589844,-0.0013079621232463979,0.0003,0.0,0.23262399435043335,,
53248,103.54,475,112,-179.957,52,0.2,0.00052955205,-1.021233491972089,510,2105.7198265075685,1029.9559326171875,-0.0012825959158362821,0.0003,0.0,0.12381184101104736,,
54272,107.81,479,113,-192.74599999999998,53,0.2,0.0004026845,-1.0090179350227118,520,1310.0077167510985,365.34912109375,-0.0007772014039801433,0.0003,0.0,0.06698113679885864,,
55296,108.19,482,114,-193.47199999999998,54,0.2,0.0027287076,-1.00076463483274,530,669.7535557746887,239.5153350830078,-0.003024537648889236,0.0003,0.0009765625,0.41249728202819824,,
56320,107.41,486,115,-187.76799999999994,55,0.2,0.0013152616,-0.995465737208724,540,1061.4285863876344,417.08233642578125,-0.002729847715818323,0.0003,0.0,0.4116048812866211,,
57344,,,,,,0.2,0.00018497434,-0.9516979295760393,550,1488.2952861785889,902.8372802734375,-0.000932544314127881,0.0003,0.0,0.29972517490386963,-817.9800188064576,200.0
57344,107.59,488,117,-188.46599999999998,56,,,,,,,,,,,,
58368,106.33,492,118,-186.3875,57,0.2,0.0006975064,-0.9919658254832029,560,1134.0325387001037,181.22283935546875,-0.001611383879208006,0.0003,0.0,0.2766221761703491,,
59392,108.57,496,119,-195.79400000000004,58,0.2,0.0021425723,-1.0006432458758354,570,876.0112051010132,112.0922622680664,-0.001860540430061519,0.0003,0.0,0.09725910425186157,,
60416,100.91,500,120,-168.6615,59,0.2,0.0006774332,-0.9260706096887589,580,1002.2957174777985,299.8824157714844,-0.0012524042744189502,0.0003,0.0,0.4148370623588562,,
61440,98.63,503,122,-161.657,60,0.2,0.003167855,-0.9819910414516926,590,1262.2001186370849,746.831298828125,-0.003206000104546547,0.0003,0.0,0.3806254267692566,,
62464,97.74,506,123,-162.753,61,0.2,0.00038403476,-0.905629999935627,600,1254.4338365554809,418.94573974609375,-0.001463228338980116,0.0003,0.0,0.2485237717628479,,
63488,86.07,508,124,-129.05799999999996,62,0.2,0.004143959,-1.017036595568061,610,1575.601007080078,736.7683715820312,-0.0034448956459527834,0.0003,0.0001953125,-0.1841667890548706,,
64512,90.66,511,126,-143.83,63,0.2,0.00055743684,-0.9066677141934634,620,1267.7873287200928,377.0645751953125,-0.0013789621079922654,0.0003,0.0,0.3049386739730835,,
65536,,,,,,0.2,0.0077776983,-0.9494657102972269,630,250.63527250289917,64.26750183105469,-0.0061390963674057275,0.0003,0.016015625,0.6826865673065186,-254.95000734329224,84.2
65536,94.98,514,127,-159.167,64,,,,,,,,,,,,
66560,92.42,517,128,-152.392,65,0.2,0.0078049335,-0.9632238317281008,640,656.5688213348388,349.3706359863281,-0.003967038018163294,0.0003,0.00986328125,0.5411010980606079,,
67584,87.68,521,129,-136.6015,66,0.2,0.000732008,-0.9528391625732183,650,1480.9407367706299,561.8543701171875,-0.0017406048340490089,0.0003,0.0,0.003578662872314453,,
68608,89.75,524,130,-140.55149999999998,67,0.2,0.002241927,-0.974758404865861,660,1460.3682247161864,512.9655151367188,-0.0028526616777526216,0.0003,0.0,0.4771193861961365,,
69632,95.08,527,131,-159.986,68,0.2,0.007809464,-0.9973441369831562,670,1021.6378131866455,493.7380065917969,-0.0067624678835272786,0.0003,0.0173828125,0.4542795419692993,,
70656,95.32,531,132,-162.30599999999995,69,0.2,0.008053326,-0.8807573661208152,680,235.06052837371826,40.83509063720703,-0.006880166052724235,0.0003,0.0416015625,0.8248032331466675,,
71680,96.94,534,134,-164.73850000000002,70,0.2,0.002482972,-0.9826906818896533,690,1323.9200201034546,697.064208984375,-0.002887689394992776,0.0003,0.0,0.0993303656578064,,
72704,100.45,537,135,-174.32300000000004,71,0.2,0.0056971237,-0.9670840609818697,700,1676.912700843811,1031.5616455078125,-0.004312794405268505,0.0003,0.00390625,0.019465208053588867,,
73728,,,,,,0.2,0.0024420235,-1.0091219790279866,710,1442.7281887054444,695.9414672851562,-0.002792582097754348,0.0003,0.0013671875,0.39435499906539917,-625.3400148391723,161.8
73728,104.49,539,136,-184.03149999999997,72,,,,,,,,,,,,
