#{"t_start": 1777807283.4421492, "env_id": "None"}
r,l,t
22.0,35,92.497246
-509.5,200,92.627794
34.1,37,92.650865
90.05,10,92.65686
59.4,23,92.671462
-482.45,200,92.790324
62.85,15,92.799319
89.75,15,92.809338
-107.45,79,92.856331
-524.45,200,93.519878
84.55,15,93.532877
81.8,22,93.549881
63.0,24,93.567386
-641.95,200,93.714914
48.15,27,93.733914
-531.55,200,93.869309
52.9,24,93.885307
-487.7,200,94.008097
-217.8,144,94.095882
-586.15,200,94.736882
-498.7,200,94.888125
-464.05,200,95.022729
-98.5,81,95.073508
92.7,4,95.076514
-391.4,166,95.180053
-70.5,75,95.227137
-388.75,174,95.32975
-506.95,200,96.047025
-77.9,61,96.091535
-130.1,99,96.163102
-555.25,200,96.296682
41.8,37,96.320762
-206.25,124,96.399467
-570.05,200,96.52419
-492.55,200,97.205733
36.45,36,97.23173
-509.7,200,97.377887
-543.05,200,97.509732
92.4,9,97.515736
80.75,15,97.525761
-324.8,159,97.623431
-535.7,200,97.742952
-392.2,188,98.396419
-36.65,68,98.447419
94.05,10,98.454422
25.9,31,98.475949
-40.1,76,98.532927
41.65,33,98.556931
-367.5,197,98.690983
-152.7,103,98.758994
-155.1,123,98.838519
80.25,13,98.847521
-232.6,146,98.936138
-522.0,200,99.7772
51.75,28,99.8012
-444.85,200,99.958716
-469.6,200,100.097824
-342.85,189,100.219746
37.2,34,100.240742
-31.05,63,100.279528
59.05,22,100.292543
-485.45,200,100.410307
100.0,1,100.411295
-70.8,88,100.977493
-522.25,200,101.12593
94.85,3,101.128922
-592.1,200,101.266611
-197.7,110,101.337289
100.0,1,101.338285
-59.4,73,101.384047
99.0,4,101.387047
-501.75,200,101.508138
23.4,31,101.527142
-475.15,200,102.482245
-505.45,200,102.626761
-533.8,200,102.766476
-149.8,117,102.844188
-459.25,200,102.970378
-468.4,200,103.090157
68.15,19,103.101183
-461.6,200,103.804713
-238.1,123,103.901284
-506.85,200,104.033633
101.0,2,104.035627
-49.3,61,104.076326
-493.65,200,104.200101
-480.25,200,104.329879
-74.85,72,104.37276
-66.85,77,104.977255
85.9,17,104.991344
-196.5,115,105.082045
-558.9,200,105.223647
48.8,29,105.243573
12.6,57,105.280413
-339.0,167,105.385215
85.4,7,105.39022
100.0,1,105.391219
-460.65,200,105.509994
-486.7,200,105.625799
-129.25,91,106.2072
98.85,7,106.2132
-470.5,200,106.3578
40.95,30,106.377587
73.45,13,106.39059
-54.95,75,106.448586
102.0,3,106.450619
4.2,49,106.482864
58.85,24,106.498866
37.0,35,106.520867
-530.15,200,106.642659
32.9,41,106.667785
-570.25,200,106.782886
-486.85,200,107.424471
38.95,29,107.448473
-486.65,200,107.586656
-277.1,140,107.673664
-344.1,182,107.785734
